sentence,pronoun,candidates,label
"John wanted to vote for Doe, but he could not make up his mind.",he,"['John', 'Doe']",0
"Yuji was a fan of Michael Jackson because he enjoyed ""Thriller"".",he,"['Yuji', 'Michael Jackson']",0
Yuji was a fan of Michael Jackson because he was famous.,he,"['Yuji', 'Michael Jackson']",1
Sega lost to Nintendo because they were superior.,they,"['Sega', 'Nintendo']",1
Sega lost to Nintendo because they were inferior.,they,"['Sega', 'Nintendo']",0
The space marines killed the aliens because they were a threat.,they,"['The space marines', 'the aliens']",1
The space marines killed the aliens because they were ordered to.,they,"['The space marines', 'the aliens']",0
Rocky beat Drago because the crowd was supporting him.,him,"['Rocky', 'Drago']",0
Rocky beat Drago because the crowd was not supporting him.,him,"['Rocky', 'Drago']",1
Lucas is younger than Claus because he was born last.,he,"['Lucas', 'Claus']",0
Lucas is younger than Claus because he was born first.,he,"['Lucas', 'Claus']",1
Joy was jealous of Jenny because she was making more money than her.,she,"['Joy', 'Jenny']",1
Joy was jealous of Jenny because she was making less money than her.,she,"['Joy', 'Jenny']",0
Bill punched Larry and he was hurt.,he,"['Bill', 'Larry']",1
Bill punched Larry because he was angry.,he,"['Bill', 'Larry']",0
The computer could not run the program because it had too many errors.,it,"['The computer', 'the program']",1
The computer could not run the program because it did not have enough memory.,it,"['The computer', 'the program']",0
The man asked Mark the question again because he was curious.,he,"['The man', 'Mark']",0
The man asked Mark the question again because he was being evasive.,he,"['The man', 'Mark']",1
"Joe tried to get Tom to wake up, but he couldn't.",he,"['Joe', 'Tom']",0
"Joe tried to get Tom to wake up, but he wouldn't.",he,"['Joe', 'Tom']",1
The other student corrected Robert because he better understood the problem.,he,"['The other student', 'Robert']",0
The other student corrected Robert because he had misunderstood the problem.,he,"['The other student', 'Robert']",1
The train conductor admonished the man standing in the doorway because he was enforcing the rules.,he,"['The train conductor', 'the man standing in the doorway']",0
The train conductor admonished the man standing in the doorway because he was not following the rules.,he,"['The train conductor', 'the man standing in the doorway']",1
"Emma did not pass the ball to Janie, although she was open.",she,"['Emma', 'Janie']",1
"Emma did not pass the ball to Janie, although she should have.",she,"['Emma', 'Janie']",0
Paul made fun of Henry since he knew everyone else did.,he,"['Paul', 'Henry']",0
Paul made fun of Henry since he was such an easy target.,he,"['Paul', 'Henry']",1
The boy gave his friend a cookie because he was hungry.,he,"['The boy', 'his friend']",1
The boy gave his friend a cookie because he had an extra.,he,"['The boy', 'his friend']",0
The government placed a tax on the product so it could profit from sales.,it,"['The government', 'the product']",0
The government placed a tax on the product so it got more expensive.,it,"['The government', 'the product']",1
The chef made breakfast for the captain because he was required to.,he,"['The chef', 'the captain']",0
The chef made breakfast for the captain because he required food.,he,"['The chef', 'the captain']",1
"The band connected well to their fans, so they continued to buy albums.",they,"['The band', 'their fans']",1
"The band connected well to their fans, so they continued to write albums.",they,"['The band', 'their fans']",0
Bill was able to steal the banana from Ken because he was quick.,he,"['Bill', 'Ken']",0
Bill was able to steal the banana from Ken because he was slow.,he,"['Bill', 'Ken']",1
Allen chased the leprechaun because he had a pot of gold.,he,"['Allen', 'the leprechaun']",1
Allen chased the leprechaun because he wanted a pot of gold.,he,"['Allen', 'the leprechaun']",0
The judge was fond of the contestant so he received the gold medal.,he,"['The judge', 'the contestant']",1
The judge was fond of the contestant so he voted favorably.,he,"['The judge', 'the contestant']",0
Malachi's program would not run on the computer because it was full of bugs.,it,"[""Malachi's program"", 'the computer']",0
Malachi's program would not run on the computer because it had a faulty hard drive.,it,"[""Malachi's program"", 'the computer']",1
Management gave the workers a raise because they had no other choice.,they,"['Management', 'the workers']",0
Management gave the workers a raise because they had threatened to strike.,they,"['Management', 'the workers']",1
The Roman legion attacked the Persians because they felt threatened.,they,"['The Roman legion', 'the Persians']",0
The Roman legion attacked the Persians because they had invaded.,they,"['The Roman legion', 'the Persians']",1
The brown fox jumped over the dog because it was quick.,it,"['The brown fox', 'the dog']",0
The brown fox jumped over the dog because it was lazy.,it,"['The brown fox', 'the dog']",1
Alice helped Gwen move because she was nice.,she,"['Alice', 'Gwen']",0
Alice helped Gwen move because she could not handle the job alone.,she,"['Alice', 'Gwen']",1
"Mark tackled the quarterback, but he managed to complete the pass.",he,"['Mark', 'the quarterback']",1
"Mark tackled the quarterback, but he was penalized.",he,"['Mark', 'the quarterback']",0
Kyle beat Mark in the race because he was the fastest kid in school.,he,"['Kyle', 'Mark']",0
Kyle beat Mark in the race because he had started out too fast.,he,"['Kyle', 'Mark']",1
The striker scored on the goalie because he outran the defenders.,he,"['The striker', 'the goalie']",0
The striker scored on the goalie because he was caught off guard.,he,"['The striker', 'the goalie']",1
Michael asked Jacob to dance because he was lonely.,he,"['Michael', 'Jacob']",1
Michael asked Jacob to dance because he felt sorry for him.,he,"['Michael', 'Jacob']",0
The government wants to prohibit the people from playing chess on Monday because they have to work.,they,"['The government', 'the people']",1
The government wants to prohibit the people from playing chess on Monday because they want Mondays to be more productive.,they,"['The government', 'the people']",0
"John tried to bake with Michael, but he did not have any eggs.",he,"['John', 'Michael']",0
"John tried to bake with Michael, but he said ""I don't like kitchens!""",he,"['John', 'Michael']",1
"The government tried to free the journalists from North Korea, but they were unsuccessful.",they,"['The government', 'the journalists']",0
"The government tried to free the journalists from North Korea, but they were held captive.",they,"['The government', 'the journalists']",1
"Emily asked Anna to stir the pot, but she did not do it.",she,"['Emily', 'Anna']",1
"Emily asked Anna to stir the pot, because she forgot to do it.",she,"['Emily', 'Anna']",0
"Tim bought Eric a gecko, but he did not like it.",he,"['Tim', 'Eric']",1
"Tim bought Eric a gecko, because he liked him.",he,"['Tim', 'Eric']",0
Anna tucked Olivia into bed because she was caring.,she,"['Anna', 'Olivia']",0
Anna tucked Olivia into bed because she fell asleep on the couch.,she,"['Anna', 'Olivia']",1
Dan modified Harry's car because he had the tools.,he,"['Dan', 'Harry']",0
Dan modified Harry's car because he asked politely.,he,"['Dan', 'Harry']",1
Sarah went to Kelly's house because she was leaving from work.,she,"['Sarah', 'Kelly']",0
Sarah went to Kelly's house because she was home.,she,"['Sarah', 'Kelly']",1
Ken scanned photos for Neil since he owned a scanner.,he,"['Ken', 'Neil']",0
Ken scanned photos for Neil since he needed to save his documents.,he,"['Ken', 'Neil']",1
"James cheated off Henry's test, and the Teacher told him.",him,"['James', 'Henry']",1
"James cheated off Henry's test, and the Teacher failed him.",him,"['James', 'Henry']",0
"Jim went to Hal's house, and walked his dog.",his,"['Jim', 'Hal']",1
"Jim went to Hal's house, and brought his dog.",his,"['Jim', 'Hal']",0
Jackie gave Beth a present because it was her birthday.,her,"['Jackie', 'Beth']",1
Jackie gave Beth a present because it was her friend's birthday.,her,"['Jackie', 'Beth']",0
"Burt installed Joey's software, and he was appreciative.",he,"['Burt', 'Joey']",1
"Burt installed Joey's software, and he installed his hardware too.",he,"['Burt', 'Joey']",0
Adam defeated Brandon in a fight because he was stronger.,he,"['Adam', 'Brandon']",0
Adam defeated Brandon in a fight because he was weaker.,he,"['Adam', 'Brandon']",1
Lemuel painted Jim a piece of art since he requested it.,he,"['Lemuel', 'Jim']",1
Lemuel painted Jim a piece of art since he knew how.,he,"['Lemuel', 'Jim']",0
The dog hunted the fox because it was red.,it,"['The dog', 'the fox']",1
The dog hunted the fox because it was hungry.,it,"['The dog', 'the fox']",0
The Secretary and the President met about him being elected.,him,"['The Secretary', 'the President']",1
The Secretary and the President met about him being appointed.,him,"['The Secretary', 'the President']",0
A monkey ate a lizard and it licked its lips.,it,"['A monkey', 'a lizard']",0
A monkey ate a lizard and it screamed in pain.,it,"['A monkey', 'a lizard']",1
Jim pooped on Jack and he vomited.,he,"['Jack', 'Jim']",0
Jim pooped on Jack and he laughed.,he,"['Jack', 'Jim']",1
The sheep chased the pig because it was fat.,it,"['The sheep', 'the pig']",1
The sheep chased the pig because it was insulted.,it,"['The sheep', 'the pig']",0
The rock melted in the lava because it was pushed.,it,"['The rock', 'the lava']",0
The rock melted in the lava because it was hot.,it,"['The rock', 'the lava']",1
Jill loves Jamie and she does not feel the same way.,she,"['Jill', 'Jamie']",1
Jill loves Jamie and she bought her a ring.,she,"['Jill', 'Jamie']",0
A dog chewed a bone and it barked.,it,"['A dog', 'a bone']",0
A dog chewed a bone and it became wet.,it,"['A dog', 'a bone']",1
The lion bit the gazelle because it had horns.,it,"['The lion', 'the gazelle']",1
The lion bit the gazelle because it had sharp teeth.,it,"['The lion', 'the gazelle']",0
John hit Carl and he did not like it.,he,"['John', 'Carl']",1
John hit Carl and he hit back.,he,"['John', 'Carl']",0
Katy cried for Susan since she was sad.,she,"['Katy', 'Susan']",0
Katy cried for Susan since she died.,she,"['Katy', 'Susan']",1
Taco needs hot sauce because it does not taste as good alone.,it,"['Taco', 'hot sauce']",0
Taco needs hot sauce because it improves the flavor.,it,"['Taco', 'hot sauce']",1
Tobias is upset with William because he would not pay.,he,"['Tobias', 'William']",0
Tobias is upset with William because he was mean.,he,"['Tobias', 'William']",1
Jean is making fun of Kyle because he won.,he,"['Jean', 'Kyle']",0
Jean is making fun of Kyle because he lost.,he,"['Jean', 'Kyle']",1
Cheesecake is better than fruitcake because it tastes better.,it,"['Cheesecake', 'fruitcake']",0
Cheesecake is better than fruitcake because it is gross.,it,"['Cheesecake', 'fruitcake']",1
The townspeople ate the unicorns because they were hungry.,they,"['The townspeople', 'the unicorns']",0
The townspeople ate the unicorns because they were delicious.,they,"['The townspeople', 'the unicorns']",1
The separatists launched a surprise attack against the empire so they could turn the tide of battle.,they,"['The separatists', 'the empire']",0
The separatists launched a surprise attack against the empire so they could be caught off guard.,they,"['The separatists', 'the empire']",1
Computers outsell laptops because they are more powerful.,they,"['Computers', 'laptops']",0
Computers outsell laptops because they are not worth the money.,they,"['Computers', 'laptops']",1
Pat tried to talk to Jill but she was ignored.,she,"['Pat', 'Jill']",0
Pat tried to talk to Jill but she did not seem to hear it.,she,"['Pat', 'Jill']",1
Gold is more popular than black because it is shiny.,it,"['Gold', 'black']",0
Gold is more popular than black because it does not sparkle.,it,"['Gold', 'black']",1
Jill outran Kate because she was faster.,she,"['Jill', 'Kate']",0
Jill outran Kate because she was slower.,she,"['Jill', 'Kate']",1
Tim gave Marlo a pat on the back because he looked sad.,he,"['Tim', 'Marlo']",1
Tim gave Marlo a pat on the back because he wanted to help.,he,"['Tim', 'Marlo']",0
Mike tried to follow Tom but he could not keep up.,he,"['Mike', 'Tom']",0
Mike tried to follow Tom but he was hard to see.,he,"['Mike', 'Tom']",1
Coins are better than dollars because they weigh more.,they,"['Coins', 'dollars']",0
Coins are better than dollars because they wrinkle too easily.,they,"['Coins', 'dollars']",1
George talked to Bill because he was nervous.,he,"['George', 'Bill']",0
George talked to Bill because he had experience.,he,"['George', 'Bill']",1
Tom asked his son to drive so that he could sleep.,he,"['Tom', 'his son']",0
Tom asked his son to drive so that he could get experience.,he,"['Tom', 'his son']",1
Rosie beat Mary in Scrabble because she had a good vocabulary.,she,"['Rosie', 'Mary']",0
Rosie beat Mary in Scrabble because she was bad at word games.,she,"['Rosie', 'Mary']",1
Bush beat Gore because he rigged the election.,he,"['Bush', 'Gore']",0
Bush beat Gore because he was unpopular.,he,"['Bush', 'Gore']",1
The knife cut through the fence because it was sharp.,it,"['The knife', 'the fence']",0
The knife cut through the fence because it was rusty.,it,"['The knife', 'the fence']",1
Bob killed Vincent because he was stealing drugs.,he,"['Bob', 'Vincent']",1
Bob killed Vincent because he wanted to kill someone.,he,"['Bob', 'Vincent']",0
Iphones are selling more than androids because they are trendy.,they,"['Iphones', 'androids']",0
Iphones are selling more than androids because they are hard to use.,they,"['Iphones', 'androids']",1
Apple defeated Microsoft in the war because they were creative.,they,"['Apple', 'Microsoft']",0
Apple defeated Microsoft in the war because they lack creativity.,they,"['Apple', 'Microsoft']",1
The University declared holiday to students because they were worried about them.,they,"['The University', 'students']",0
The University declared holiday to students because they requested them.,they,"['The University', 'students']",1
Hill joined Obama because Bill suggested him.,him,"['Hill', 'Obama']",0
Hill joined Obama because Bill trusted him.,him,"['Hill', 'Obama']",1
Hitler conquered Alex in the war because everybody supported him.,him,"['Hitler', 'Alex']",0
Hitler conquered Alex in the war because nobody supported him.,him,"['Hitler', 'Alex']",1
Rocky won the match with Richard because he worked hard.,he,"['Rocky', 'Richard']",0
Rocky won the match with Richard because he had no energy.,he,"['Rocky', 'Richard']",1
Clinton wanted Obama to run for president because he would win.,he,"['Clinton', 'Obama']",1
Clinton wanted Obama to run for president because he could not win.,he,"['Clinton', 'Obama']",0
Steve loved Bush but he did not tell.,he,"['Steve', 'Bush']",0
Steve loved Bush but he did not accept.,he,"['Steve', 'Bush']",1
"Gates is richer than Jobs, so he does a lot more charity work.",he,"['Gates', 'Jobs']",0
"Gates is richer than Jobs, so he is not richest person.",he,"['Gates', 'Jobs']",1
"Seth is smarter than Sai, and consequently he got a better job.",he,"['Seth', 'Sai']",0
"Seth is a smarter than Sai, and consequently he did worse in the job interview.",he,"['Seth', 'Sai']",1
Jacob misled Amen so David helped him.,him,"['Jacob', 'Amen']",1
Jacob misled Amen so David fired him.,him,"['Jacob', 'Amen']",0
Right after work Angelina took Sandy to the park because she knew the place.,she,"['Angelina', 'Sandy']",0
Right after work Angelina took Sandy to the park because she wanted to go to that place.,she,"['Angelina', 'Sandy']",1
Claudia lost all her money to Valarie because she is really smart.,she,"['Claudia', 'Valarie']",1
Claudia lost all her money to Valarie because she is stupid.,she,"['Claudia', 'Valarie']",0
Mike helped Jack with his assignment because he felt like doing so.,he,"['Mike', 'Jack']",0
Mike helped Jack with his assignment because he politely asked him to.,he,"['Mike', 'Jack']",1
Dad yelled at Sam because he did not go to school.,he,"['Dad', 'Sam']",1
Dad yelled at Sam because he was mad.,he,"['Dad', 'Sam']",0
Janice bought Kenda a car because she needed one.,she,"['Janice', 'Kenda']",1
Janice bought Kenda a car because she has money to spend.,she,"['Janice', 'Kenda']",0
The mouse ran from the cat all the way to the kitchen because it was scared.,it,"['The mouse', 'the cat']",0
The mouse ran from the cat all the way to the kitchen because it chased him.,it,"['The mouse', 'the cat']",1
John picked Bill because he was in need of talent.,he,"['John', 'Bill']",0
John picked Bill because he was talented.,he,"['John', 'Bill']",1
John bored Bill because he was boring.,he,"['John', 'Bill']",0
John bored Bill because he was easily bored.,he,"['John', 'Bill']",1
John appreciated Bill because he had been in need.,he,"['John', 'Bill']",0
John ridiculed Bill because he was a big help.,he,"['John', 'Bill']",1
John tricked Bill because he was mischievous.,he,"['John', 'Bill']",0
John tricked Bill because he was slow-witted.,he,"['John', 'Bill']",1
John nicked Bill because he needed money.,he,"['John', 'Bill']",0
John nicked Bill because he was gullible.,he,"['John', 'Bill']",1
John gave a large sum of money to Bill because he had extra.,he,"['John', 'Bill']",0
John gave a large sum of money to Bill because he needed a loan.,he,"['John', 'Bill']",1
John kicked Bill because he was angry.,he,"['John', 'Bill']",0
John kicked Bill because he was being mean.,he,"['John', 'Bill']",1
John remembered Bill because he had had been thinking about wicker chairs.,he,"['John', 'Bill']",0
John remembered Bill because he was memorable.,he,"['John', 'Bill']",1
"The couple took the car to the shop on Tuesday, but they will not charge until next week.",they,"['The couple', 'the shop']",1
"The couple took the car to the shop on Tuesday, but they will not have to pay until next week.",they,"['The couple', 'the shop']",0
"Chuck Norris can beat any man in a fight, unless he is invincible.",he,"['Chuck Norris', 'any man']",1
"Chuck Norris can beat any man in a fight, unless he is tied up and blindfolded.",he,"['Chuck Norris', 'any man']",0
I think the referee treats Vick like a running back because he has distinct style of play.,he,"['the referee', 'Vick']",1
I think the referee treats Vick like a running back because he does not understand the game.,he,"['the referee', 'Vick']",0
"The mouse sought out the wise owl's advice, and she promptly realized her mistake.",she,"['The mouse', 'the wise owl']",0
"The mouse sought out the wise owl's advice, and she promptly accepted the free meal.",she,"['The mouse', 'the wise owl']",1
The kidnapper will not return Trent Reznor until he is given a private performance.,he,"['The kidnapper', 'Trent Reznor']",0
The kidnapper will not return Trent Reznor until he agrees to a private performance.,he,"['The kidnapper', 'Trent Reznor']",1
The authorities detained the hikers because they were trespassing.,they,"['The authorities', 'the hikers']",1
The authorities detained the hikers because they were prejudiced.,they,"['The authorities', 'the hikers']",0
"Sarah tried to ignore the elephant in the room, but she could not bear the awkwardness.",she,"['Sarah', 'the elephant in the room']",0
"Sarah tried to ignore the elephant in the room, but she would not stop trumpeting.",she,"['Sarah', 'the elephant in the room']",1
"Mark almost made a deal with Slimy Jack, but backed down when the man was caught embezzling.",the man,"['Mark', 'Slimy Jack']",1
"Mark almost made a deal with Slimy Jack, but backed down when the man thought of his reputation for honesty.",the man,"['Mark', 'Slimy Jack']",0
"The robots tried to negotiate a cease-fire with the squirrel-men, but negotiations broke down when they sabotaged the microchip processing facility.",they,"['The robots', 'the squirrel-men']",1
"The robots tried to negotiate a cease-fire with the squirrel-men, but negotiations broke down when they sabotaged the acorn processing facility.",they,"['The robots', 'the squirrel-men']",0
Jesus appeared to Thomas in order to show that he had risen.,he,"['Jesus', 'Thomas']",0
Jesus appeared to Thomas in order to show that he had unfounded doubts.,he,"['Jesus', 'Thomas']",1
The employees crushed the boxes because they were working.,they,"['The employees', 'the boxes']",0
The employees crushed the boxes because they were empty.,they,"['The employees', 'the boxes']",1
The wine busted the cask because it was too small.,it,"['The wine', 'the cask']",1
The wine busted the cask because it was too carbonated.,it,"['The wine', 'the cask']",0
Tom gave James a coat because he was cold.,he,"['Tom', 'James']",1
Tom gave James a coat because he was generous.,he,"['Tom', 'James']",0
The veterans defeated the newcomers because they were more experienced.,they,"['The veterans', 'the newcomers']",0
The veterans defeated the newcomers because they were less experienced.,they,"['The veterans', 'the newcomers']",1
The sailors fell off the boats because they were capsizing.,they,"['The sailors', 'the boats']",1
The sailors fell off the boats because they were drunk.,they,"['The sailors', 'the boats']",0
The children played games because they were bored.,they,"['The children', 'games']",0
The children played games because they were entertaining.,they,"['The children', 'games']",1
John fired Dave because he had too many absences.,he,"['John', 'Dave']",1
John fired Dave because he had too many employees.,he,"['John', 'Dave']",0
The police arrested the rioters because they were preventing trouble.,they,"['The police', 'the rioters']",0
The police arrested the rioters because they were causing trouble.,they,"['The police', 'the rioters']",1
The students read the books because they were learning.,they,"['The students', 'the books']",0
The students read the books because they were interesting.,they,"['The students', 'the books']",1
The lumberjacks cut the trees so they could be paid.,they,"['The lumberjacks', 'the trees']",0
The lumberjacks cut the trees so they could be sold.,they,"['The lumberjacks', 'the trees']",1
The Centurion lent Doctor Who his ear since he had pledged his loyalty.,he,"['The Centurion', 'Doctor Who']",0
The Centurion lent Doctor Who his ear since he had saved the Centurion's life.,he,"['The Centurion', 'Doctor Who']",1
Tom likes John because he has a cool name.,he,"['Tom', 'John']",1
Tom likes John because he likes people with cool names.,he,"['Tom', 'John']",0
The listener did not complain about the singer because he was autotuned.,he,"['The listener', 'the singer']",1
The listener did not complain about the singer because he was tone deaf.,he,"['The listener', 'the singer']",0
The musicians performed at two venues because neither of them paid much.,them,"['The musicians', 'two venues']",1
The musicians performed at two venues because neither of them got paid much.,them,"['The musicians', 'two venues']",0
"The product fair showed Office 365, and it had a lot of attendees.",it,"['The product fair', 'Office 365']",0
"The product fair showed Office 365, and it showed off with a game.",it,"['The product fair', 'Office 365']",1
Stephen King called Spielberg so that he could ask for some money.,he,"['Stephen King', 'Spielberg']",0
Stephen King called Spielberg so that he could call him back.,he,"['Stephen King', 'Spielberg']",1
Lions love gazelles because they eat them.,they,"['Lions', 'gazelles']",0
Lions love gazelles because they are delicious.,they,"['Lions', 'gazelles']",1
Steve Ballmer took over as CEO of Microsoft after Bill Gates because he retired.,he,"['Steve Ballmer', 'Bill Gates']",1
Steve Ballmer took over as CEO of Microsoft after Bill Gates because he was a unicorn.,he,"['Steve Ballmer', 'Bill Gates']",0
Windows is worse than Linux because it has a lot of viruses.,it,"['Windows', 'Linux']",0
Windows is worse than Linux because it is open source.,it,"['Windows', 'Linux']",1
The boy lent his friend a pencil because the teacher told him to share.,him,"['The boy', 'his friend']",0
The boy lent his friend a pencil because the teacher told him to write.,him,"['The boy', 'his friend']",1
God created Adam for good but he could not control his creation.,he,"['God', 'Adam']",0
God created Adam for good but he could not control his temptation.,he,"['God', 'Adam']",1
The boy laughed at his friend because he heard the joke.,he,"['The boy', 'his friend']",0
The boy laughed at his friend because he made the joke.,he,"['The boy', 'his friend']",1
The cops maced the protesters because they blindly follow orders.,they,"['The cops', 'the protesters']",0
The cops maced the protesters because they do not blindly follow orders.,they,"['The cops', 'the protesters']",1
"The boulder dropped into the river, but it continued to roll.",it,"['The boulder', 'the river']",0
"The boulder dropped into the river, but it continued to flow.",it,"['The boulder', 'the river']",1
The gun owner fired at the burglar because he stole items.,he,"['The gun owner', 'the burglar']",1
The gun owner fired at the burglar because he saw a shadow.,he,"['The gun owner', 'the burglar']",0
Jerrica saw the guard as she snuck past.,she,"['Jerrica', 'the guard']",0
Jerrica saw the guard as she marched past.,she,"['Jerrica', 'the guard']",1
The home team lost to the Giants because they were better players.,they,"['The home team', 'the Giants']",1
The home team lost to the Giants because they were unable to pass.,they,"['The home team', 'the Giants']",0
My parents gave the neighbors tickets to Six Flags since they needed them.,they,"['My parents', 'the neighbors']",1
My parents gave the neighbors tickets to Six Flags since they had extras.,they,"['My parents', 'the neighbors']",0
The police called headquarters for help and they refused.,they,"['The police', 'headquarters']",1
The police called headquarters for help and they continued to fight the criminals.,they,"['The police', 'headquarters']",0
The advisor told the President that he should declare war.,he,"['The advisor', 'the President']",1
The advisor told the President that he was resigning.,he,"['The advisor', 'the President']",0
The elephant trampled a fish and it died.,it,"['The elephant', 'a fish']",1
The elephant trampled a fish and it continued on its way.,it,"['The elephant', 'a fish']",0
The children egged the neighbors because they had no candy.,they,"['The children', 'the neighbors']",1
The children egged the neighbors because they had no dignity.,they,"['The children', 'the neighbors']",0
The model frowned at her manager because she forgot to call.,she,"['The model', 'her manager']",1
The model frowned at her manager because she was sad.,she,"['The model', 'her manager']",0
William enforced a mandatory choir practice for Ryan since he is struggling with his singing abilities.,he,"['William', 'Ryan']",1
William enforced a mandatory choir practice for Ryan since he is a mean teacher.,he,"['William', 'Ryan']",0
The counselor gave the student advice because he is on the wrong track in life.,he,"['The counselor', 'the student']",1
The counselor gave the student advice because he feels obligated to help him.,he,"['The counselor', 'the student']",0
Ryan won the presidency against Tom because he feels he was the better candidate.,he,"['Ryan', 'Tom']",0
Ryan won the presidency against Tom because he was not fit for office.,he,"['Ryan', 'Tom']",1
Jack raced past Dan since his car is much faster.,his,"['Jack', 'Dan']",0
Jack raced past Dan since his car is old.,his,"['Jack', 'Dan']",1
The mother encouraged her daughter to sing a difficult song so she would be challenged.,she,"['The mother', 'her daughter']",1
The mother encouraged her daughter to sing a difficult song so she could see her become better.,she,"['The mother', 'her daughter']",0
John visited his son so he could spent time with him.,he,"['John', 'his son']",0
John visited his son so he would feel loved.,he,"['John', 'his son']",1
The pilots saved the passengers because they had a civic duty.,they,"['The pilots', 'the passengers']",0
The pilots saved the passengers because they begged them to.,they,"['The pilots', 'the passengers']",1
Kurt sang to Jon since he wanted to be the lead singer.,he,"['Kurt', 'Jon']",0
Kurt sang to Jon since he was the judge.,he,"['Kurt', 'Jon']",1
"Stacy lied about partying to her mom, but she found out.",she,"['Stacy', 'her mom']",1
"Stacy lied about partying to her mom, but she feared that she may be caught.",she,"['Stacy', 'her mom']",0
Janet Jackson is more popular than Latoya Jackson since she is the better performer.,she,"['Janet Jackson', 'Latoya Jackson']",0
Janet Jackson is more popular than Latoya Jackson since she does not have as many followers.,she,"['Janet Jackson', 'Latoya Jackson']",1
Stephen Colbert is funnier than John Stewart since his comedy is better.,his,"['Stephen Colbert', 'John Stewart']",0
Stephen Colbert is funnier than John Stewart since his show has less viewers.,his,"['Stephen Colbert', 'John Stewart']",1
Rick Davis campaigned for John McCain since he could best support him in office.,he,"['Rick Davis', 'John McCain']",0
Rick Davis campaigned for John McCain since he was the best man for office.,he,"['Rick Davis', 'John McCain']",1
Simon Cowell makes fun of Ryan Seacrest since he feels superior.,he,"['Simon Cowell', 'Ryan Seacrest']",0
Simon Cowell makes fun of Ryan Seacrest since he is viewed as feminine.,he,"['Simon Cowell', 'Ryan Seacrest']",1
The poor steal from the rich because they need more money.,they,"['The poor', 'the rich']",0
The poor steal from the rich because they possess more items of value.,they,"['The poor', 'the rich']",1
The big brother always beats the little brother at board games since he was older and wiser.,he,"['The big brother', 'the little brother']",0
The big brother always beats the little brother at board games since he is not very good at games.,he,"['The big brother', 'the little brother']",1
The salesman sold a hot tub to the customer because he was looking for something to use and soak in.,he,"['The salesman', 'the customer']",1
The salesman sold a hot tub to the customer because he was trying to sell his products.,he,"['The salesman', 'the customer']",0
Jennifer Aniston does not like Angelina Jolie because she stole her boyfriend.,she,"['Jennifer Aniston', 'Angelina Jolie']",1
Jennifer Aniston does not like Angelina Jolie because she is jealous of her relationship.,she,"['Jennifer Aniston', 'Angelina Jolie']",0
The US army fought the Taliban because they are trying to prevent terrorism.,they,"['The US army', 'the Taliban']",0
The US army fought the Taliban because they are the root of much terrorism.,they,"['The US army', 'the Taliban']",1
Terranova has better ratings than House since they have attracted more new audiences.,they,"['Terranova', 'House']",0
Terranova has better ratings than House since they have a small target audience.,they,"['Terranova', 'House']",1
"Neil Patrick Harris is a better singer than Dave Chappelle,since he does not have time to become a good singer due to his comedy career.",he,"['Neil Patrick Harris', 'Dave Chappelle']",1
"Neil Patrick Harris is a better singer than Dave Chappelle, since he had experience from Broadway.",he,"['Neil Patrick Harris', 'Dave Chappelle']",0
"The Philadelphia Eagles lost to the St. Louis Rams, but it was because they had the home field advantage.",they,"['Philadelphia Eagles', 'St. Louis Rams']",1
"The Philadelphia Eagles lost to the St. Louis Rams, but it was because they were tired from traveling to the game.",they,"['Philadelphia Eagles', 'St. Louis Rams']",0
"The AirForce is more appealing than the Army, but they require higher qualifications.",they,"['The AirForce', 'the Army']",0
"The AirForce is more appealing than the Army, but they are just as important.",they,"['The AirForce', 'the Army']",1
Dogs are friendlier than cats since they enjoy the company of people.,they,"['Dogs', 'cats']",0
Dogs are friendlier than cats since they would rather be alone.,they,"['Dogs', 'cats']",1
Hybrid cars produce less pollution than diesel trucks because they use less gas and more electricity.,they,"['Hybrid cars', 'diesel trucks']",0
Hybrid cars produce less pollution than diesel trucks because they use pure gasoline.,they,"['Hybrid cars', 'diesel trucks']",1
Fry's Electronics is more successful than Comp USA since they price their products much lower.,they,"[""Fry's Electronics"", 'Comp USA']",0
Fry's Electronics is more successful than Comp USA since they cannot compete competitively in price.,they,"[""Fry's Electronics"", 'Comp USA']",1
"Ryan has much less hair than Gary, so he does not go out in public without a hat.",he,"['Ryan', 'Gary']",0
"Ryan has much less hair than Gary, so he has to cut his hair constantly.",he,"['Ryan', 'Gary']",1
Blue Thunder scored more goals than Green Hogs since they are the better team.,they,"['Blue Thunder', 'Green Hogs']",0
Blue Thunder scored more goals than Green Hogs since they are not very good at the game.,they,"['Blue Thunder', 'Green Hogs']",1
Joe earned more money than Rob on the Price is Right because he was able to guess more letters correctly.,he,"['Joe', 'Rob']",0
Joe earned more money than Rob on the Price is Right because he kept guessing wrong.,he,"['Joe', 'Rob']",1
KFC sells better than Popeyes since they have better chicken.,they,"['KFC', 'Popeyes']",0
KFC sells better than Popeyes since they use worse ingredients in their chicken.,they,"['KFC', 'Popeyes']",1
Google is catching up to Firefox in the percentage of users because they have a faster and more reliable browser.,they,"['Google', 'Firefox']",0
"Google is catching up to Firefox in the percentage of users, because they have been getting too bulky and slow.",they,"['Google', 'Firefox']",1
The new knives are better than the old knives since they are much sharper.,they,"['new knives', 'old knives']",0
The new knives are better than the old knives since they are losing their sharp edge due to constant use.,they,"['new knives', 'old knives']",1
